grupo,nome,quantidade
Mídia Digital (Digital Out-of-Home),Monitor por loja,7
Mídia Digital (Digital Out-of-Home),Pórtico Digital - Múltiplo de 5 lojas (10seg.),1
Mídia Digital (Digital Out-of-Home),Tela de Led por loja,13
Mídia Digital (Digital Out-of-Home),Totem Digital (exclusivo),1
Mídia Externa e de Grande Formato,Inflável,3
Mídia Externa e de Grande Formato,Mini Outdoor,2
Mídia Externa e de Grande Formato,Paredão,2
Mídia Externa e de Grande Formato,WindBanner,2
Mídia em Pontos de Acesso e Circulação,Adesivo de Escada Rolante (parte interna),1
Mídia em Pontos de Acesso e Circulação,Adesivo de Piso,14
Mídia em Pontos de Acesso e Circulação,Adesivo de Vitrine,1
Mídia em Pontos de Acesso e Circulação,Cancela de Estacionamento,1
Mídia em Pontos de Acesso e Circulação,Capa de Antena Entrada,2
Mídia em Pontos de Acesso e Circulação,Capa de Antena Saída,2
Mídia em Pontos de Acesso e Circulação,Placa de Coluna - Poste Coberto,5
Mídia no Ponto de Venda (PDV),Adesivo Checkout (parte de baixo),5
Mídia no Ponto de Venda (PDV),Adesivo Checkout (parte de cima),5
Mídia no Ponto de Venda (PDV),Manopla de Carrinho,50
Mídia no Ponto de Venda (PDV),Orelha de Monitor,5
Mídia no Ponto de Venda (PDV),Placa de Carrinho,50
